Date,USDINR18DEC70.5CE O,USDINR18DEC70.5CE H,USDINR18DEC70.5CE L,USDINR18DEC70.5CE C,USDINR18DEC70.5CE V
11/30/2018 12:28:00 PM,0.3775,0.38,0.3775,0.38,676
11/30/2018 12:27:00 PM,0.375,0.3775,0.375,0.3775,399
11/30/2018 12:26:00 PM,0.375,0.375,0.375,0.375,0
11/30/2018 12:25:00 PM,0.375,0.375,0.375,0.375,0
11/30/2018 12:24:00 PM,0.38,0.3825,0.375,0.375,1192
11/30/2018 12:23:00 PM,0.3775,0.38,0.3775,0.38,68
11/30/2018 12:22:00 PM,0.3775,0.3775,0.3775,0.3775,100
11/30/2018 12:21:00 PM,0.3775,0.3775,0.3775,0.3775,0
11/30/2018 12:20:00 PM,0.3775,0.3775,0.3775,0.3775,0
11/30/2018 12:19:00 PM,0.3775,0.3775,0.3775,0.3775,0
11/30/2018 12:18:00 PM,0.385,0.385,0.3775,0.3775,1050
11/30/2018 12:17:00 PM,0.385,0.385,0.385,0.385,0
11/30/2018 12:16:00 PM,0.385,0.385,0.385,0.385,0
11/30/2018 12:15:00 PM,0.385,0.385,0.385,0.385,0
11/30/2018 12:14:00 PM,0.385,0.385,0.385,0.385,75
11/30/2018 12:13:00 PM,0.3875,0.3875,0.385,0.385,100
11/30/2018 12:12:00 PM,0.3875,0.3875,0.3875,0.3875,0
11/30/2018 12:11:00 PM,0.3875,0.3875,0.3875,0.3875,0
11/30/2018 12:10:00 PM,0.3875,0.3875,0.3875,0.3875,0
11/30/2018 12:09:00 PM,0.385,0.3875,0.385,0.3875,411
11/30/2018 12:08:00 PM,0.385,0.385,0.385,0.385,100
11/30/2018 12:07:00 PM,0.3825,0.385,0.3825,0.385,39
11/30/2018 12:06:00 PM,0.3825,0.3825,0.3825,0.3825,0
11/30/2018 12:05:00 PM,0.385,0.385,0.3825,0.3825,87
11/30/2018 12:04:00 PM,0.385,0.385,0.385,0.385,0
11/30/2018 12:03:00 PM,0.385,0.385,0.385,0.385,0
11/30/2018 12:02:00 PM,0.385,0.385,0.385,0.385,0
11/30/2018 12:01:00 PM,0.38,0.385,0.38,0.385,150
11/30/2018 12:00:00 PM,0.38,0.38,0.38,0.38,300
11/30/2018 11:59:00 AM,0.38,0.38,0.38,0.38,0
11/30/2018 11:58:00 AM,0.38,0.38,0.38,0.38,0
11/30/2018 11:57:00 AM,0.3725,0.38,0.3725,0.38,150
11/30/2018 11:56:00 AM,0.3725,0.3725,0.3725,0.3725,0
11/30/2018 11:55:00 AM,0.3725,0.3725,0.3725,0.3725,4
11/30/2018 11:54:00 AM,0.3725,0.3725,0.3725,0.3725,0
11/30/2018 11:53:00 AM,0.375,0.375,0.3725,0.3725,86
11/30/2018 11:52:00 AM,0.3775,0.3775,0.375,0.375,12
11/30/2018 11:51:00 AM,0.3775,0.38,0.3775,0.3775,250
11/30/2018 11:50:00 AM,0.38,0.38,0.3775,0.3775,56
11/30/2018 11:49:00 AM,0.38,0.38,0.38,0.38,4
11/30/2018 11:48:00 AM,0.375,0.38,0.375,0.38,10
11/30/2018 11:47:00 AM,0.375,0.375,0.375,0.375,0
11/30/2018 11:46:00 AM,0.375,0.375,0.375,0.375,0
11/30/2018 11:45:00 AM,0.375,0.375,0.375,0.375,5
11/30/2018 11:44:00 AM,0.375,0.375,0.375,0.375,0
11/30/2018 11:43:00 AM,0.3775,0.3775,0.375,0.375,74
11/30/2018 11:42:00 AM,0.3825,0.3825,0.3775,0.3775,275
11/30/2018 11:41:00 AM,0.3825,0.3825,0.3825,0.3825,50
11/30/2018 11:40:00 AM,0.3775,0.3825,0.3775,0.3825,400
11/30/2018 11:39:00 AM,0.3775,0.3775,0.3775,0.3775,0
11/30/2018 11:38:00 AM,0.38,0.38,0.3775,0.3775,200
11/30/2018 11:37:00 AM,0.3775,0.38,0.3775,0.38,15
11/30/2018 11:36:00 AM,0.3775,0.3775,0.3775,0.3775,150
11/30/2018 11:35:00 AM,0.3775,0.3775,0.3775,0.3775,0
11/30/2018 11:34:00 AM,0.3775,0.38,0.3775,0.3775,13
11/30/2018 11:33:00 AM,0.375,0.3775,0.375,0.3775,123
11/30/2018 11:32:00 AM,0.3725,0.375,0.3725,0.375,90
11/30/2018 11:31:00 AM,0.3725,0.3725,0.3725,0.3725,135
11/30/2018 11:30:00 AM,0.3725,0.375,0.3725,0.3725,156
11/30/2018 11:29:00 AM,0.3725,0.3725,0.3725,0.3725,0
11/30/2018 11:28:00 AM,0.37,0.3725,0.37,0.3725,300
11/30/2018 11:27:00 AM,0.3675,0.37,0.3675,0.37,3
11/30/2018 11:26:00 AM,0.37,0.37,0.3675,0.3675,392
11/30/2018 11:25:00 AM,0.37,0.37,0.3675,0.37,132
11/30/2018 11:24:00 AM,0.3675,0.37,0.3675,0.37,94
11/30/2018 11:23:00 AM,0.365,0.3675,0.365,0.3675,35
11/30/2018 11:22:00 AM,0.365,0.365,0.365,0.365,0
11/30/2018 11:21:00 AM,0.3675,0.3675,0.365,0.365,1
11/30/2018 11:20:00 AM,0.3625,0.3675,0.3625,0.3675,530
11/30/2018 11:19:00 AM,0.365,0.3675,0.3625,0.3625,126
11/30/2018 11:18:00 AM,0.36,0.3675,0.36,0.365,98
11/30/2018 11:17:00 AM,0.36,0.36,0.36,0.36,140
11/30/2018 11:16:00 AM,0.3575,0.3625,0.3575,0.36,380
11/30/2018 11:15:00 AM,0.3625,0.3625,0.3575,0.3575,26
11/30/2018 11:14:00 AM,0.36,0.3625,0.36,0.3625,5
11/30/2018 11:13:00 AM,0.365,0.365,0.36,0.36,728
11/30/2018 11:12:00 AM,0.365,0.3675,0.365,0.365,785
11/30/2018 11:11:00 AM,0.365,0.3675,0.365,0.365,458
11/30/2018 11:10:00 AM,0.3575,0.365,0.3575,0.365,118
11/30/2018 11:09:00 AM,0.3625,0.3625,0.3575,0.3575,199
11/30/2018 11:08:00 AM,0.3575,0.3625,0.3575,0.36,1063
11/30/2018 11:07:00 AM,0.3575,0.3575,0.355,0.3575,934
11/30/2018 11:06:00 AM,0.3575,0.3575,0.3575,0.3575,311
11/30/2018 11:05:00 AM,0.36,0.36,0.3525,0.3575,501
11/30/2018 11:04:00 AM,0.36,0.36,0.36,0.36,300
11/30/2018 11:03:00 AM,0.3625,0.3625,0.36,0.36,212
11/30/2018 11:02:00 AM,0.365,0.365,0.36,0.3625,31
11/30/2018 11:01:00 AM,0.365,0.365,0.365,0.365,270
11/30/2018 11:00:00 AM,0.3625,0.365,0.3625,0.365,30
11/30/2018 10:59:00 AM,0.3625,0.3625,0.3625,0.3625,113
11/30/2018 10:58:00 AM,0.3625,0.3625,0.36,0.3625,842
11/30/2018 10:57:00 AM,0.365,0.365,0.3625,0.3625,32
11/30/2018 10:56:00 AM,0.365,0.365,0.365,0.365,9
11/30/2018 10:55:00 AM,0.36,0.365,0.36,0.365,151
11/30/2018 10:54:00 AM,0.36,0.36,0.36,0.36,75
11/30/2018 10:53:00 AM,0.37,0.37,0.36,0.36,270
11/30/2018 10:52:00 AM,0.3725,0.3725,0.37,0.37,8
11/30/2018 10:51:00 AM,0.3725,0.3725,0.3725,0.3725,46
11/30/2018 10:50:00 AM,0.3725,0.3725,0.3725,0.3725,212
11/30/2018 10:49:00 AM,0.3725,0.3725,0.3725,0.3725,155
11/30/2018 10:48:00 AM,0.3725,0.3725,0.3725,0.3725,30
11/30/2018 10:47:00 AM,0.3775,0.3775,0.3725,0.3725,170
11/30/2018 10:46:00 AM,0.3775,0.3775,0.3775,0.3775,267
11/30/2018 10:45:00 AM,0.3775,0.3775,0.3775,0.3775,0
11/30/2018 10:44:00 AM,0.3725,0.3775,0.3725,0.3775,11
11/30/2018 10:43:00 AM,0.3725,0.3725,0.3725,0.3725,0
