Date,ZINC18NOVFUT O,ZINC18NOVFUT H,ZINC18NOVFUT L,ZINC18NOVFUT C,ZINC18NOVFUT V
11/29/2018 5:59:00 PM,178.8,178.85,178.8,178.8,11
11/29/2018 5:58:00 PM,178.75,178.8,178.75,178.8,4
11/29/2018 5:57:00 PM,178.75,178.75,178.65,178.75,30
11/29/2018 5:56:00 PM,178.8,178.8,178.75,178.75,9
11/29/2018 5:55:00 PM,178.85,178.85,178.8,178.8,6
11/29/2018 5:54:00 PM,178.9,178.9,178.85,178.85,31
11/29/2018 5:53:00 PM,179,179,178.9,178.9,26
11/29/2018 5:52:00 PM,178.9,179,178.85,178.85,45
11/29/2018 5:51:00 PM,178.7,178.9,178.7,178.8,57
11/29/2018 5:50:00 PM,178.65,178.7,178.65,178.7,10
11/29/2018 5:49:00 PM,178.6,178.6,178.6,178.6,6
11/29/2018 5:48:00 PM,178.7,178.7,178.6,178.6,8
11/29/2018 5:47:00 PM,178.55,178.7,178.55,178.7,16
11/29/2018 5:46:00 PM,178.55,178.6,178.55,178.55,2
11/29/2018 5:45:00 PM,178.6,178.6,178.55,178.55,3
11/29/2018 5:44:00 PM,178.55,178.6,178.55,178.6,9
11/29/2018 5:43:00 PM,178.5,178.55,178.5,178.55,15
11/29/2018 5:42:00 PM,178.55,178.55,178.5,178.5,8
11/29/2018 5:41:00 PM,178.65,178.65,178.55,178.55,9
11/29/2018 5:40:00 PM,178.65,178.65,178.65,178.65,2
11/29/2018 5:39:00 PM,178.6,178.65,178.6,178.65,9
11/29/2018 5:38:00 PM,178.7,178.8,178.6,178.6,10
11/29/2018 5:37:00 PM,178.7,178.7,178.65,178.7,15
11/29/2018 5:36:00 PM,178.6,178.7,178.55,178.7,17
11/29/2018 5:35:00 PM,178.55,178.6,178.55,178.6,52
11/29/2018 5:34:00 PM,178.6,178.65,178.55,178.55,7
11/29/2018 5:33:00 PM,178.65,178.7,178.6,178.6,13
11/29/2018 5:32:00 PM,178.7,178.7,178.65,178.65,17
11/29/2018 5:31:00 PM,178.5,178.7,178.5,178.65,26
11/29/2018 5:30:00 PM,178.5,178.5,178.4,178.5,19
11/29/2018 5:29:00 PM,178.5,178.5,178.4,178.5,45
11/29/2018 5:28:00 PM,178.55,178.6,178.5,178.55,26
11/29/2018 5:27:00 PM,178.75,178.75,178.45,178.5,77
11/29/2018 5:26:00 PM,178.8,178.8,178.75,178.75,1
11/29/2018 5:25:00 PM,178.7,178.8,178.7,178.8,32
11/29/2018 5:24:00 PM,178.75,178.75,178.7,178.7,8
11/29/2018 5:23:00 PM,178.8,178.85,178.75,178.75,14
11/29/2018 5:22:00 PM,178.85,178.85,178.8,178.8,2
11/29/2018 5:21:00 PM,178.9,178.9,178.8,178.8,5
11/29/2018 5:20:00 PM,178.85,178.9,178.85,178.9,2
11/29/2018 5:19:00 PM,178.8,178.85,178.8,178.85,2
11/29/2018 5:18:00 PM,178.8,178.8,178.8,178.8,6
11/29/2018 5:17:00 PM,178.85,178.85,178.8,178.8,3
11/29/2018 5:16:00 PM,178.85,178.9,178.8,178.85,12
11/29/2018 5:15:00 PM,178.85,178.85,178.85,178.85,3
11/29/2018 5:14:00 PM,178.9,178.95,178.85,178.85,14
