Date,PNB18DECFUT O,PNB18DECFUT H,PNB18DECFUT L,PNB18DECFUT C,PNB18DECFUT V
11/29/2018 9:37:00 AM,70.3,70.35,70.3,70.35,38500
11/29/2018 9:36:00 AM,70.35,70.35,70.3,70.3,82500
11/29/2018 9:35:00 AM,70.4,70.4,70.3,70.35,115500
11/29/2018 9:34:00 AM,70.45,70.45,70.35,70.4,264000
11/29/2018 9:33:00 AM,70.5,70.5,70.4,70.45,93500
11/29/2018 9:32:00 AM,70.5,70.5,70.4,70.5,77000
11/29/2018 9:31:00 AM,70.45,70.5,70.4,70.5,60500
11/29/2018 9:30:00 AM,70.55,70.6,70.45,70.45,121000
11/29/2018 9:29:00 AM,70.55,70.6,70.55,70.55,181500
11/29/2018 9:28:00 AM,70.2,70.6,70.2,70.55,396000
11/29/2018 9:27:00 AM,70.05,70.25,70.05,70.25,687500
11/29/2018 9:26:00 AM,69.95,70.05,69.85,70.05,55000
11/29/2018 9:25:00 AM,69.65,69.95,69.65,69.85,104500
11/29/2018 9:24:00 AM,69.85,69.85,69.65,69.65,44000
11/29/2018 9:23:00 AM,69.75,69.9,69.75,69.85,110000
11/29/2018 9:22:00 AM,70.05,70.1,69.8,69.8,407000
11/29/2018 9:21:00 AM,70.05,70.05,69.95,69.95,154000
11/29/2018 9:20:00 AM,70.1,70.1,70,70.05,110000
11/29/2018 9:19:00 AM,70.1,70.15,70,70.1,88000
11/29/2018 9:18:00 AM,70,70.1,69.85,70.1,77000
11/29/2018 9:17:00 AM,70.15,70.15,69.9,70,126500
11/29/2018 9:16:00 AM,70.1,70.1,69.8,70.1,324500
11/29/2018 9:15:00 AM,70.15,70.4,70.1,70.15,258500
11/28/2018 3:29:00 PM,69.7,69.8,69.65,69.75,1881000
11/28/2018 3:28:00 PM,69.75,69.85,69.65,69.7,143000
11/28/2018 3:27:00 PM,69.8,69.9,69.75,69.75,214500
11/28/2018 3:26:00 PM,69.85,69.9,69.85,69.85,253000
11/28/2018 3:25:00 PM,69.9,69.9,69.85,69.85,132000
11/28/2018 3:24:00 PM,69.8,69.9,69.75,69.9,159500
11/28/2018 3:23:00 PM,69.8,69.85,69.75,69.8,82500
11/28/2018 3:22:00 PM,69.75,69.9,69.75,69.8,242000
11/28/2018 3:21:00 PM,69.65,69.75,69.55,69.75,258500
11/28/2018 3:20:00 PM,69.7,69.7,69.65,69.65,126500
11/28/2018 3:19:00 PM,69.65,69.7,69.6,69.7,253000
11/28/2018 3:18:00 PM,69.65,69.65,69.6,69.65,242000
11/28/2018 3:17:00 PM,69.8,69.8,69.65,69.65,352000
11/28/2018 3:16:00 PM,69.9,69.95,69.9,69.9,170500
11/28/2018 3:15:00 PM,70.05,70.05,69.9,69.9,110000
11/28/2018 3:14:00 PM,70.05,70.1,70.05,70.05,115500
11/28/2018 3:13:00 PM,70,70.05,70,70.05,137500
11/28/2018 3:12:00 PM,70,70,69.95,69.95,82500
11/28/2018 3:11:00 PM,70.05,70.05,70,70,176000
11/28/2018 3:10:00 PM,70.15,70.15,70.1,70.1,126500
