Date,FEDERALBNK-EQ O,FEDERALBNK-EQ H,FEDERALBNK-EQ L,FEDERALBNK-EQ C,FEDERALBNK-EQ V
10/10/2018 2:33:00 PM,72.45,72.45,72.35,72.4,8977
10/10/2018 2:32:00 PM,72.35,72.5,72.35,72.45,28464
10/10/2018 2:31:00 PM,72.45,72.45,72.35,72.35,17786
10/10/2018 2:30:00 PM,72.4,72.5,72.35,72.45,27041
10/10/2018 2:29:00 PM,72.5,72.6,72.35,72.45,29251
10/10/2018 2:28:00 PM,72.65,72.65,72.45,72.5,41084
10/10/2018 2:27:00 PM,72.5,72.55,72.4,72.55,93287
10/10/2018 2:26:00 PM,72.5,72.6,72.5,72.5,32934
10/10/2018 2:25:00 PM,72.35,72.6,72.35,72.5,48621
10/10/2018 2:24:00 PM,72.35,72.45,72.3,72.35,11945
10/10/2018 2:23:00 PM,72.4,72.4,72.2,72.35,26868
10/10/2018 2:22:00 PM,72.5,72.5,72.35,72.4,26026
10/10/2018 2:21:00 PM,72.5,72.65,72.4,72.5,101883
10/10/2018 2:20:00 PM,72.4,72.5,72.4,72.5,18930
10/10/2018 2:19:00 PM,72.5,72.6,72.4,72.4,72299
10/10/2018 2:18:00 PM,72.4,72.5,72.3,72.5,151079
10/10/2018 2:17:00 PM,72.2,72.4,72.2,72.35,103372
10/10/2018 2:16:00 PM,72.1,72.3,72.1,72.2,125439
10/10/2018 2:15:00 PM,72,72.15,72,72.1,70366
10/10/2018 2:14:00 PM,72.05,72.1,72,72.05,9344
10/10/2018 2:13:00 PM,72.05,72.05,72,72.05,20346
10/10/2018 2:12:00 PM,72,72.1,72,72.05,30860
10/10/2018 2:11:00 PM,71.8,72.1,71.8,72.05,160314
10/10/2018 2:10:00 PM,71.65,71.95,71.65,71.8,92870
10/10/2018 2:09:00 PM,71.6,71.7,71.6,71.7,18411
10/10/2018 2:08:00 PM,71.6,71.7,71.55,71.6,20454
10/10/2018 2:07:00 PM,71.6,71.7,71.6,71.6,9335
10/10/2018 2:06:00 PM,71.65,71.65,71.6,71.6,7864
10/10/2018 2:05:00 PM,71.65,71.75,71.55,71.6,78753
10/10/2018 2:04:00 PM,71.6,71.65,71.55,71.6,6385
10/10/2018 2:03:00 PM,71.55,71.65,71.55,71.65,31518
10/10/2018 2:02:00 PM,71.6,71.6,71.55,71.6,7154
10/10/2018 2:01:00 PM,71.55,71.6,71.5,71.6,11954
10/10/2018 2:00:00 PM,71.45,71.55,71.45,71.55,91520
10/10/2018 1:59:00 PM,71.65,71.65,71.5,71.55,13696
10/10/2018 1:58:00 PM,71.5,71.7,71.5,71.65,55365
10/10/2018 1:57:00 PM,71.55,71.55,71.45,71.5,79350
10/10/2018 1:56:00 PM,71.6,71.65,71.55,71.55,35424
10/10/2018 1:55:00 PM,71.6,71.65,71.6,71.6,18504
10/10/2018 1:54:00 PM,71.65,71.65,71.6,71.65,7625
10/10/2018 1:53:00 PM,71.65,71.65,71.55,71.65,11154
10/10/2018 1:52:00 PM,71.6,71.7,71.55,71.65,9988
10/10/2018 1:51:00 PM,71.65,71.65,71.55,71.6,8773
10/10/2018 1:50:00 PM,71.5,71.65,71.5,71.65,97939
10/10/2018 1:49:00 PM,71.6,71.65,71.5,71.5,67638
10/10/2018 1:48:00 PM,71.55,71.65,71.55,71.55,7818
10/10/2018 1:47:00 PM,71.55,71.65,71.55,71.55,28179
10/10/2018 1:46:00 PM,71.6,71.65,71.55,71.55,21025
10/10/2018 1:45:00 PM,71.65,71.65,71.55,71.6,29326
10/10/2018 1:44:00 PM,71.6,71.65,71.6,71.6,9025
10/10/2018 1:43:00 PM,71.7,71.7,71.6,71.6,24880
10/10/2018 1:42:00 PM,71.7,71.7,71.6,71.6,6388
10/10/2018 1:41:00 PM,71.65,71.7,71.55,71.6,11713
10/10/2018 1:40:00 PM,71.6,71.8,71.6,71.75,30456
10/10/2018 1:39:00 PM,71.6,71.65,71.55,71.6,55870
10/10/2018 1:38:00 PM,71.6,71.65,71.5,71.6,74751
10/10/2018 1:37:00 PM,71.6,71.65,71.6,71.6,17680
10/10/2018 1:36:00 PM,71.6,71.65,71.6,71.6,26138
10/10/2018 1:35:00 PM,71.55,71.65,71.55,71.6,15483
10/10/2018 1:34:00 PM,71.5,71.6,71.5,71.55,33664
10/10/2018 1:33:00 PM,71.6,71.6,71.45,71.5,203409
10/10/2018 1:32:00 PM,71.6,71.65,71.5,71.6,98802
10/10/2018 1:31:00 PM,71.6,71.65,71.6,71.65,13391
10/10/2018 1:30:00 PM,71.6,71.7,71.55,71.65,40489
10/10/2018 1:29:00 PM,71.45,71.6,71.4,71.6,156705
10/10/2018 1:28:00 PM,71.55,71.55,71.4,71.4,25867
10/10/2018 1:27:00 PM,71.55,71.6,71.5,71.55,21930
10/10/2018 1:26:00 PM,71.6,71.7,71.5,71.55,42807
10/10/2018 1:25:00 PM,71.7,71.7,71.6,71.6,15104
10/10/2018 1:24:00 PM,71.65,71.75,71.6,71.7,64840
10/10/2018 1:23:00 PM,71.8,71.8,71.65,71.65,12185
10/10/2018 1:22:00 PM,72,72,71.7,71.8,12899
10/10/2018 1:21:00 PM,71.95,72,71.9,72,9183
10/10/2018 1:20:00 PM,72,72,71.9,72,11387
10/10/2018 1:19:00 PM,72,72,71.9,72,10248
10/10/2018 1:18:00 PM,71.9,72,71.85,72,11694
10/10/2018 1:17:00 PM,71.8,71.9,71.75,71.9,25443
10/10/2018 1:16:00 PM,71.7,71.85,71.7,71.8,23972
10/10/2018 1:15:00 PM,71.6,71.7,71.6,71.7,44054
10/10/2018 1:14:00 PM,71.7,71.7,71.6,71.6,7625
10/10/2018 1:13:00 PM,71.6,71.7,71.55,71.7,75184
10/10/2018 1:12:00 PM,71.6,71.65,71.55,71.65,187197
10/10/2018 1:11:00 PM,71.6,71.7,71.6,71.6,76124
10/10/2018 1:10:00 PM,71.65,71.7,71.6,71.6,81465
10/10/2018 1:09:00 PM,71.65,71.7,71.6,71.65,220481
10/10/2018 1:08:00 PM,71.7,71.75,71.6,71.65,23199
10/10/2018 1:07:00 PM,71.65,71.8,71.65,71.7,20509
10/10/2018 1:06:00 PM,71.7,71.7,71.6,71.65,11311
10/10/2018 1:05:00 PM,71.7,71.75,71.65,71.7,21696
10/10/2018 1:04:00 PM,71.75,71.75,71.65,71.7,34072
10/10/2018 1:03:00 PM,71.75,71.75,71.65,71.75,6965
10/10/2018 1:02:00 PM,71.65,71.75,71.65,71.75,9373
10/10/2018 1:01:00 PM,71.6,71.75,71.6,71.65,19417
10/10/2018 1:00:00 PM,71.6,71.75,71.6,71.6,15816
10/10/2018 12:59:00 PM,71.65,71.7,71.6,71.6,12915
10/10/2018 12:58:00 PM,71.75,71.75,71.65,71.65,8400
10/10/2018 12:57:00 PM,71.6,71.8,71.6,71.8,16014
10/10/2018 12:56:00 PM,71.65,71.75,71.6,71.6,54602
10/10/2018 12:55:00 PM,71.75,71.8,71.65,71.65,45043
10/10/2018 12:54:00 PM,71.8,71.85,71.7,71.8,13153
10/10/2018 12:53:00 PM,71.75,71.8,71.65,71.8,8084
10/10/2018 12:52:00 PM,71.85,71.85,71.6,71.75,78783
10/10/2018 12:51:00 PM,71.95,71.95,71.85,71.85,18805
10/10/2018 12:50:00 PM,72.15,72.15,71.85,71.95,143688
10/10/2018 12:49:00 PM,72.05,72.15,72.05,72.15,8684
10/10/2018 12:48:00 PM,72.1,72.15,72.05,72.05,16683
10/10/2018 12:47:00 PM,72.2,72.2,72.05,72.1,18994
10/10/2018 12:46:00 PM,72.3,72.3,72.15,72.15,13264
10/10/2018 12:45:00 PM,72.25,72.3,72.15,72.3,52682
10/10/2018 12:44:00 PM,72.3,72.3,72.2,72.25,31028
10/10/2018 12:43:00 PM,72.25,72.3,72.2,72.3,103818
10/10/2018 12:42:00 PM,72.4,72.4,72.2,72.25,31144
10/10/2018 12:41:00 PM,72.35,72.4,72.3,72.4,35878
10/10/2018 12:40:00 PM,72.25,72.45,72.1,72.3,119298
10/10/2018 12:39:00 PM,72.25,72.35,72.15,72.25,94477
10/10/2018 12:38:00 PM,72.3,72.4,72.3,72.3,33666
10/10/2018 12:37:00 PM,72.4,72.45,72.3,72.3,20705
10/10/2018 12:36:00 PM,72.35,72.4,72.25,72.4,73879
10/10/2018 12:35:00 PM,72.4,72.5,72.35,72.35,13715
10/10/2018 12:34:00 PM,72.15,72.5,72.15,72.4,187218
10/10/2018 12:33:00 PM,72.3,72.3,72.15,72.15,71178
10/10/2018 12:32:00 PM,72.35,72.4,72.25,72.25,10387
10/10/2018 12:31:00 PM,72.25,72.35,72.2,72.35,15377
10/10/2018 12:30:00 PM,72.4,72.4,72.1,72.25,29085
10/10/2018 12:29:00 PM,72.4,72.5,72.3,72.4,20813
10/10/2018 12:28:00 PM,72.55,72.55,72.3,72.4,15353
10/10/2018 12:27:00 PM,72.6,72.6,72.45,72.45,27034
10/10/2018 12:26:00 PM,72.6,72.65,72.55,72.6,6858
10/10/2018 12:25:00 PM,72.7,72.75,72.5,72.6,13389
10/10/2018 12:24:00 PM,72.5,72.7,72.5,72.65,123696
10/10/2018 12:23:00 PM,72.45,72.55,72.4,72.55,116606
10/10/2018 12:22:00 PM,72.3,72.4,72.25,72.4,4511
10/10/2018 12:21:00 PM,72.3,72.3,72.25,72.3,8328
10/10/2018 12:20:00 PM,72.3,72.3,72.25,72.3,6948
10/10/2018 12:19:00 PM,72.3,72.35,72.25,72.3,2570
10/10/2018 12:18:00 PM,72.35,72.35,72.25,72.3,6139
10/10/2018 12:17:00 PM,72.3,72.4,72.3,72.35,1514
10/10/2018 12:16:00 PM,72.4,72.4,72.3,72.3,3014
10/10/2018 12:15:00 PM,72.35,72.4,72.3,72.4,4010
10/10/2018 12:14:00 PM,72.4,72.45,72.35,72.35,7214
10/10/2018 12:13:00 PM,72.45,72.45,72.4,72.4,19472
10/10/2018 12:12:00 PM,72.5,72.5,72.45,72.45,16738
10/10/2018 12:11:00 PM,72.35,72.5,72.35,72.45,21231
10/10/2018 12:10:00 PM,72.35,72.4,72.35,72.35,8940
10/10/2018 12:09:00 PM,72.25,72.4,72.25,72.35,9425
10/10/2018 12:08:00 PM,72.25,72.3,72.2,72.25,18149
10/10/2018 12:07:00 PM,72.4,72.4,72.25,72.25,8777
10/10/2018 12:06:00 PM,72.4,72.45,72.35,72.4,74126
10/10/2018 12:05:00 PM,72.4,72.4,72.3,72.4,10457
10/10/2018 12:04:00 PM,72.15,72.4,72.15,72.4,131974
10/10/2018 12:03:00 PM,72.05,72.2,72,72.15,19710
10/10/2018 12:02:00 PM,72.1,72.1,72,72.05,4051
